"id","name"
"1","80"
"2","85"
"3","90"
"4","95"
"5","100"
"6","105"
"7","110"
"8","115"
"9","120"
"10","125"
"11","130"
"12","135"
"13","140"
"14","145"
"15","150"
"16","155"
"17","160"
"18","165"
"19","170"
"20","175"
"21","180"
"22","185"
"23","190"
"24","195"
"25","200"
"26","205"
"27","210"
"28","215"
"29","220"
"30","225"
"31","230"
"32","235"
"33","240"
"34","245"
"35","250"
"36","GP Cunit-Cubelles"
"37","GP Foix"
"38","GP Berenguera"
"39","GP Morr�s"
"40","GP Cubelles"
"41","GP St Salvador"
"42","GP Morràs"
"43","NA"
"44","GP CUNIT"
